"X.Instruction1.keys","Instruction1.rt","Instruction2.keys","Instruction2.rt","key_resp_iso.keys","key_resp_iso.corr","Practice_01.thisRepN","Practice_01.thisTrialN","Practice_01.thisN","Practice_01.thisIndex","Practice_01.ran","Words","ans","participant","session","date","expName","psychopyVersion","OS","frameRate","key_resp_iso.rt","key_resp_3.keys","key_resp_3.rt","key_resp_ipn.keys","key_resp_ipn.corr","Practice_02.thisRepN","Practice_02.thisTrialN","Practice_02.thisN","Practice_02.thisIndex","Practice_02.ran","Words_ipn","ans_ipn","key_resp_ipn.rt","key_resp_4.keys","key_resp_4.rt","key_resp_t1.keys","key_resp_t1.corr","key_resp_t1.rt","Practice_T1.thisRepN","Practice_T1.thisTrialN","Practice_T1.thisN","Practice_T1.thisIndex","Practice_T1.ran","Words_t1","ans_t1","key_resp_5.keys","key_resp_5.rt","Formal_T1.thisRepN","Formal_T1.thisTrialN","Formal_T1.thisN","Formal_T1.thisIndex","Formal_T1.ran","key_resp_6.keys","key_resp_6.rt","key_resp_iso_reverse.keys","key_resp_iso_reverse.corr","key_resp_iso_reverse.rt","Practice_iso_Reverse.thisRepN","Practice_iso_Reverse.thisTrialN","Practice_iso_Reverse.thisN","Practice_iso_Reverse.thisIndex","Practice_iso_Reverse.ran","key_resp_7.keys","key_resp_7.rt","key_resp_t2_Practice.keys","key_resp_t2_Practice.corr","Practice_t2_Reverse.thisRepN","Practice_t2_Reverse.thisTrialN","Practice_t2_Reverse.thisN","Practice_t2_Reverse.thisIndex","Practice_t2_Reverse.ran","Words_t2","ans_t2","key_resp_t2_Practice.rt","key_resp_8.keys","key_resp_8.rt","key_resp_t2.keys","key_resp_t2.corr","key_resp_t2.rt","Formal_t2_reverse.thisRepN","Formal_t2_reverse.thisTrialN","Formal_t2_reverse.thisN","Formal_t2_reverse.thisIndex","Formal_t2_reverse.ran","key_instruct.keys","key_instruct.rt","Subject"
"space",11.718,"space",37.8355,"",0,0,0,0,6,1,"他们","i",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"",0,0,1,1,2,1,"我们","e",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"",0,0,2,2,1,1,"我的","e",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"",0,0,3,3,3,1,"自己","e",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"",0,0,4,4,8,1,"他人","i",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"i",0,0,5,5,4,1,"俺","e",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,0.3847,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"i",1,0,6,6,5,1,"他","i",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,0.9192,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"i",1,0,7,7,9,1,"其他","i",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,1.1077,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"i",1,0,8,8,7,1,"他的","i",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,0.7894,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"e",1,0,9,9,0,1,"我","e",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,1.143,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,NA,"space",15.1053,"",0,0,0,0,4,1,"乐观","e",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,NA,"",NA,"i",1,0,1,1,20,1,"卑鄙","i",0.9338,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",1,1,"2024-08-25_22h04.39.309","IAT(Formal)","2021.2.3","Win32",59.88023952,NA,"",NA,"e",1,0,2,2,8,1,"勤奋","e",0.8724,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,"32"
