﻿Instruction1.keys,Instruction1.rt,Instruction2.keys,Instruction2.rt,key_resp_iso.keys,key_resp_iso.corr,key_resp_iso.rt,Practice_01.thisRepN,Practice_01.thisTrialN,Practice_01.thisN,Practice_01.thisIndex,Practice_01.ran,Words,ans,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_ipn.keys,key_resp_ipn.corr,Practice_02.thisRepN,Practice_02.thisTrialN,Practice_02.thisN,Practice_02.thisIndex,Practice_02.ran,Words_ipn,ans_ipn,key_resp_ipn.rt,key_resp_4.keys,key_resp_4.rt,key_resp_t1.keys,key_resp_t1.corr,key_resp_t1.rt,Practice_T1.thisRepN,Practice_T1.thisTrialN,Practice_T1.thisN,Practice_T1.thisIndex,Practice_T1.ran,Words_t1,ans_t1,key_resp_5.keys,key_resp_5.rt,Formal_T1.thisRepN,Formal_T1.thisTrialN,Formal_T1.thisN,Formal_T1.thisIndex,Formal_T1.ran,key_resp_6.keys,key_resp_6.rt,key_resp_iso_reverse.keys,key_resp_iso_reverse.corr,key_resp_iso_reverse.rt,Practice_iso_Reverse.thisRepN,Practice_iso_Reverse.thisTrialN,Practice_iso_Reverse.thisN,Practice_iso_Reverse.thisIndex,Practice_iso_Reverse.ran,key_resp_7.keys,key_resp_7.rt,key_resp_t2_Practice.keys,key_resp_t2_Practice.corr,key_resp_t2_Practice.rt,Practice_t2_Reverse.thisRepN,Practice_t2_Reverse.thisTrialN,Practice_t2_Reverse.thisN,Practice_t2_Reverse.thisIndex,Practice_t2_Reverse.ran,Words_t2,ans_t2,key_resp_8.keys,key_resp_8.rt,key_resp_t2.keys,key_resp_t2.corr,key_resp_t2.rt,Formal_t2_reverse.thisRepN,Formal_t2_reverse.thisTrialN,Formal_t2_reverse.thisN,Formal_t2_reverse.thisIndex,Formal_t2_reverse.ran,key_instruct.keys,key_instruct.rt
space,1.7939,space,11.4787,e,0,1.3329,0,0,0,5,1,他,i,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,0,0.906,0,1,1,3,1,自己,e,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.6024,0,2,2,1,1,我的,e,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.558,0,3,3,7,1,他的,i,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.8435,0,4,4,9,1,其他,i,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.5437,0,5,5,6,1,他们,i,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,i,1,0.6649,0,6,6,8,1,他人,i,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.7112,0,7,7,4,1,俺,e,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.5839,0,8,8,0,1,我,e,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,e,1,0.5512,0,9,9,2,1,我们,e,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,space,1.257,,0,0,0,0,14,1,朴实,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,1,1,22,1,愚蠢,i,0.7195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,2,2,36,1,野蛮,i,0.5598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,3,3,18,1,活泼,e,0.6887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,4,4,8,1,勤奋,e,0.6832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,5,5,33,1,自私,i,0.5423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,6,6,26,1,自卑,i,0.7541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,7,7,9,1,机智,e,0.6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,8,8,16,1,冷静,e,0.6903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,9,9,38,1,轻率,i,0.8228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,10,10,1,1,崇高,e,0.6213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,11,11,19,1,诚恳,e,0.6262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,12,12,32,1,凶狠,i,0.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,13,13,10,1,认真,e,0.6631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,14,14,29,1,冒失,i,0.7029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,15,15,39,1,下贱,i,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,16,16,30,1,执拗,i,0.4938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,17,17,17,1,热情,e,0.5472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,18,18,31,1,散漫,i,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,19,19,34,1,暴躁,i,0.6596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,20,20,15,1,细腻,e,0.9588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,21,21,2,1,聪明,e,1.0405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,22,22,11,1,稳重,e,0.6304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,0,0,23,23,35,1,猖狂,i,0.7818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,24,24,25,1,消极,i,0.5414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,e,1,0,25,25,5,1,诚实,e,0.5979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,26,26,24,1,悲观,i,0.6389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1,001,2024-08-23_13h21.31.714,IAT(Formal),2021.2.3,Win32,60.24096386,,,i,1,0,27,27,37,1,固执,i,0.6253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
